Time,Impressions,Clicks,CTR,Cohort size,Click to Install,fCVR,D7 Payers,D7 Payer Conversion
01.09.2018,"1,000,593","33,371",3.34%,"3,925",11.8%,0.39%,88,2.24%
02.09.2018,"1,235,620","38,675",3.13%,"4,425",11.4%,0.36%,102,2.31%
03.09.2018,"1,318,256","40,821",3.10%,"4,195",10.3%,0.32%,82,1.95%
04.09.2018,"1,144,845","31,356",2.74%,"3,475",11.1%,0.30%,88,2.53%
05.09.2018,"1,159,113","34,715",2.99%,"3,205",9.2%,0.28%,75,2.34%
06.09.2018,"1,409,692","43,913",3.12%,"2,974",6.8%,0.21%,82,2.76%
07.09.2018,"1,320,359","42,685",3.23%,"3,029",7.1%,0.23%,81,2.67%
08.09.2018,"1,361,364","53,271",3.91%,"3,663",6.9%,0.27%,95,2.59%
09.09.2018,"1,456,486","57,029",3.92%,"3,769",6.6%,0.26%,85,2.26%
10.09.2018,"1,253,203","39,869",3.18%,"3,137",7.9%,0.25%,86,2.74%
11.09.2018,"1,448,567","46,343",3.20%,"3,192",6.9%,0.22%,89,2.79%
12.09.2018,"1,405,218","41,577",2.96%,"3,087",7.4%,0.22%,88,2.85%
13.09.2018,"1,566,663","44,253",2.82%,"3,447",7.8%,0.22%,118,3.42%
14.09.2018,"1,371,972","37,678",2.75%,"3,119",8.3%,0.23%,95,3.05%
15.09.2018,"1,359,780","44,254",3.25%,"3,608",8.2%,0.27%,106,2.94%
16.09.2018,"1,419,329","43,928",3.09%,"3,658",8.3%,0.26%,113,3.09%
17.09.2018,"1,174,032","32,327",2.75%,"2,721",8.4%,0.23%,88,3.23%
18.09.2018,"1,023,391","29,180",2.85%,"2,390",8.2%,0.23%,54,2.26%
19.09.2018,"1,134,678","29,435",2.59%,"2,565",8.7%,0.23%,79,3.08%
20.09.2018,"1,006,182","28,172",2.80%,"2,516",8.9%,0.25%,85,3.38%
21.09.2018,"1,105,777","28,814",2.61%,"2,644",9.2%,0.24%,75,2.84%
22.09.2018,"1,099,185","35,713",3.25%,"3,111",8.7%,0.28%,71,2.28%
23.09.2018,"1,277,943","39,284",3.07%,"3,481",8.9%,0.27%,83,2.38%
24.09.2018,"1,273,232","30,631",2.41%,"3,027",9.9%,0.24%,100,3.30%
25.09.2018,"1,271,144","30,962",2.44%,"2,838",9.2%,0.22%,76,2.68%
26.09.2018,"1,235,172","34,439",2.79%,"2,930",8.5%,0.24%,80,2.73%
27.09.2018,"1,181,530","31,953",2.70%,"2,751",8.6%,0.23%,68,2.47%
28.09.2018,"1,214,674","30,722",2.53%,"2,712",8.8%,0.22%,78,2.88%
29.09.2018,"1,331,501","39,313",2.95%,"3,133",8.0%,0.24%,88,2.81%
30.09.2018,"1,642,131","45,079",2.75%,"3,413",7.6%,0.21%,107,3.14%
