country,hours_bucket,installs,country_total_installs,share_within_country
ad,9,1,5,20.00%
ad,0,4,5,80.00%
ae,1,18,459,3.92%
ae,2,10,459,2.18%
ae,3,4,459,0.87%
ae,4,8,459,1.74%
ae,5,3,459,0.65%
ae,6,3,459,0.65%
ae,7,2,459,0.44%
ae,8,3,459,0.65%
ae,9,3,459,0.65%
ae,12,2,459,0.44%
ae,13,2,459,0.44%
ae,14,2,459,0.44%
ae,16,2,459,0.44%
ae,17,2,459,0.44%
ae,18,2,459,0.44%
ae,19,1,459,0.22%
ae,22,1,459,0.22%
ae,26,2,459,0.44%
ae,29,1,459,0.22%
ae,38,1,459,0.22%
ae,46,1,459,0.22%
ae,0,386,459,84.10%
af,1,2,14,14.29%
af,2,2,14,14.29%
af,6,1,14,7.14%
af,13,1,14,7.14%
af,0,8,14,57.14%
ag,1,3,14,21.43%
ag,5,1,14,7.14%
ag,8,1,14,7.14%
ag,15,1,14,7.14%
ag,0,8,14,57.14%
al,1,4,88,4.55%
al,2,3,88,3.41%
al,4,1,88,1.14%
al,6,1,88,1.14%
al,31,1,88,1.14%
al,0,78,88,88.64%
am,1,2,58,3.45%
am,2,1,58,1.72%
am,3,1,58,1.72%
am,4,1,58,1.72%
am,0,53,58,91.38%
ao,1,3,30,10.00%
ao,2,1,30,3.33%
ao,4,1,30,3.33%
ao,5,1,30,3.33%
ao,14,1,30,3.33%
ao,0,23,30,76.67%
ar,1,73,1233,5.92%
ar,2,26,1233,2.11%
ar,3,20,1233,1.62%
ar,4,11,1233,0.89%
ar,5,8,1233,0.65%
ar,6,8,1233,0.65%
ar,7,6,1233,0.49%
ar,8,5,1233,0.41%
ar,9,4,1233,0.32%
ar,10,2,1233,0.16%
ar,11,2,1233,0.16%
ar,12,3,1233,0.24%
ar,13,3,1233,0.24%
ar,14,3,1233,0.24%
ar,15,6,1233,0.49%
ar,16,1,1233,0.08%
ar,17,3,1233,0.24%
ar,18,4,1233,0.32%
ar,19,1,1233,0.08%
ar,20,2,1233,0.16%
ar,21,3,1233,0.24%
ar,22,2,1233,0.16%
ar,24,1,1233,0.08%
ar,28,1,1233,0.08%
ar,30,2,1233,0.16%
ar,31,2,1233,0.16%
ar,35,2,1233,0.16%
ar,37,1,1233,0.08%
ar,38,1,1233,0.08%
ar,41,1,1233,0.08%
ar,43,1,1233,0.08%
ar,45,1,1233,0.08%
ar,0,1018,1233,82.56%
as,0,2,2,100.00%
at,1,14,237,5.91%
at,2,2,237,0.84%
at,3,6,237,2.53%
at,4,2,237,0.84%
at,5,3,237,1.27%
at,6,1,237,0.42%
at,7,1,237,0.42%
at,8,1,237,0.42%
at,10,1,237,0.42%
at,12,2,237,0.84%
at,13,1,237,0.42%
at,16,1,237,0.42%
at,30,1,237,0.42%
at,0,201,237,84.81%
au,1,50,658,7.60%
au,2,24,658,3.65%
au,3,20,658,3.04%
au,4,9,658,1.37%
au,5,4,658,0.61%
au,6,7,658,1.06%
au,7,2,658,0.30%
au,8,2,658,0.30%
au,9,1,658,0.15%
au,10,2,658,0.30%
au,11,5,658,0.76%
au,12,4,658,0.61%
au,13,2,658,0.30%
au,14,2,658,0.30%
au,15,4,658,0.61%
au,16,2,658,0.30%
au,17,1,658,0.15%
au,18,3,658,0.46%
au,19,4,658,0.61%
au,21,2,658,0.30%
au,22,3,658,0.46%
au,23,2,658,0.30%
au,24,4,658,0.61%
au,25,3,658,0.46%
au,26,2,658,0.30%
au,27,1,658,0.15%
au,28,2,658,0.30%
au,30,3,658,0.46%
au,31,1,658,0.15%
au,33,1,658,0.15%
au,36,1,658,0.15%
au,37,1,658,0.15%
au,38,1,658,0.15%
au,39,1,658,0.15%
au,40,1,658,0.15%
au,42,1,658,0.15%
au,44,2,658,0.30%
au,45,1,658,0.15%
au,46,1,658,0.15%
au,0,473,658,71.88%
aw,6,1,19,5.26%
aw,0,18,19,94.74%
ax,0,1,1,100.00%
az,1,5,128,3.91%
az,2,6,128,4.69%
az,4,1,128,0.78%
az,6,1,128,0.78%
az,9,1,128,0.78%
az,11,1,128,0.78%
az,13,2,128,1.56%
az,30,1,128,0.78%
az,34,1,128,0.78%
az,0,109,128,85.16%
ba,1,8,205,3.90%
ba,2,5,205,2.44%
ba,3,3,205,1.46%
ba,5,1,205,0.49%
ba,7,1,205,0.49%
ba,11,1,205,0.49%
ba,20,1,205,0.49%
ba,24,1,205,0.49%
ba,44,1,205,0.49%
ba,46,1,205,0.49%
ba,0,182,205,88.78%
bb,2,1,20,5.00%
bb,4,1,20,5.00%
bb,15,1,20,5.00%
bb,22,1,20,5.00%
bb,0,16,20,80.00%
bd,1,24,354,6.78%
bd,2,11,354,3.11%
bd,3,4,354,1.13%
bd,4,3,354,0.85%
bd,5,2,354,0.56%
bd,8,1,354,0.28%
bd,10,1,354,0.28%
bd,12,1,354,0.28%
bd,13,1,354,0.28%
bd,17,1,354,0.28%
bd,18,1,354,0.28%
bd,20,1,354,0.28%
bd,22,1,354,0.28%
bd,26,2,354,0.56%
bd,27,1,354,0.28%
bd,0,299,354,84.46%
be,1,24,401,5.99%
be,2,15,401,3.74%
be,3,4,401,1.00%
be,4,3,401,0.75%
be,6,3,401,0.75%
be,7,2,401,0.50%
be,8,3,401,0.75%
be,9,1,401,0.25%
be,10,2,401,0.50%
be,12,1,401,0.25%
be,14,1,401,0.25%
be,19,3,401,0.75%
be,33,1,401,0.25%
be,36,1,401,0.25%
be,0,337,401,84.04%
bf,1,1,4,25.00%
bf,16,1,4,25.00%
bf,0,2,4,50.00%
bg,1,17,470,3.62%
bg,2,9,470,1.91%
bg,3,9,470,1.91%
bg,4,8,470,1.70%
bg,5,4,470,0.85%
bg,6,6,470,1.28%
bg,7,2,470,0.43%
bg,10,4,470,0.85%
bg,11,2,470,0.43%
bg,12,1,470,0.21%
bg,15,1,470,0.21%
bg,16,1,470,0.21%
bg,19,1,470,0.21%
bg,23,1,470,0.21%
bg,32,1,470,0.21%
bg,35,1,470,0.21%
bg,36,1,470,0.21%
bg,0,399,470,84.89%
bh,1,6,78,7.69%
bh,2,1,78,1.28%
bh,4,2,78,2.56%
bh,7,1,78,1.28%
bh,13,1,78,1.28%
bh,16,1,78,1.28%
bh,0,66,78,84.62%
bj,0,4,4,100.00%
bm,2,1,1,100.00%
bn,1,8,111,7.21%
bn,2,4,111,3.60%
bn,3,1,111,0.90%
bn,4,2,111,1.80%
bn,5,1,111,0.90%
bn,17,2,111,1.80%
bn,21,1,111,0.90%
bn,41,1,111,0.90%
bn,0,91,111,81.98%
bo,1,37,523,7.07%
bo,2,14,523,2.68%
bo,3,11,523,2.10%
bo,4,7,523,1.34%
bo,5,3,523,0.57%
bo,6,5,523,0.96%
bo,7,4,523,0.76%
bo,8,3,523,0.57%
bo,9,3,523,0.57%
bo,10,2,523,0.38%
bo,12,2,523,0.38%
bo,14,5,523,0.96%
bo,15,1,523,0.19%
bo,16,3,523,0.57%
bo,20,3,523,0.57%
bo,23,1,523,0.19%
bo,29,1,523,0.19%
bo,33,1,523,0.19%
bo,36,1,523,0.19%
bo,37,1,523,0.19%
bo,0,414,523,79.16%
bq,3,1,1,100.00%
br,1,446,7428,6.00%
br,2,179,7428,2.41%
br,3,105,7428,1.41%
br,4,71,7428,0.96%
br,5,54,7428,0.73%
br,6,48,7428,0.65%
br,7,33,7428,0.44%
br,8,23,7428,0.31%
br,9,10,7428,0.13%
br,10,15,7428,0.20%
br,11,13,7428,0.18%
br,12,16,7428,0.22%
br,13,16,7428,0.22%
br,14,11,7428,0.15%
br,15,16,7428,0.22%
br,16,11,7428,0.15%
br,17,8,7428,0.11%
br,18,8,7428,0.11%
br,19,6,7428,0.08%
br,20,7,7428,0.09%
br,21,4,7428,0.05%
br,22,6,7428,0.08%
br,23,9,7428,0.12%
br,24,8,7428,0.11%
br,25,6,7428,0.08%
br,26,6,7428,0.08%
br,27,9,7428,0.12%
br,28,3,7428,0.04%
br,29,8,7428,0.11%
br,30,5,7428,0.07%
br,31,2,7428,0.03%
br,32,5,7428,0.07%
br,33,3,7428,0.04%
br,34,3,7428,0.04%
br,36,2,7428,0.03%
br,37,3,7428,0.04%
br,38,2,7428,0.03%
br,40,1,7428,0.01%
br,41,2,7428,0.03%
br,45,3,7428,0.04%
br,46,3,7428,0.04%
br,0,6231,7428,83.89%
bs,1,5,21,23.81%
bs,2,1,21,4.76%
bs,6,1,21,4.76%
bs,0,14,21,66.67%
bt,2,1,7,14.29%
bt,3,1,7,14.29%
bt,31,1,7,14.29%
bt,0,4,7,57.14%
bw,0,1,1,100.00%
by,1,4,130,3.08%
by,2,3,130,2.31%
by,3,3,130,2.31%
by,4,3,130,2.31%
by,5,1,130,0.77%
by,7,2,130,1.54%
by,10,1,130,0.77%
by,12,1,130,0.77%
by,14,1,130,0.77%
by,19,1,130,0.77%
by,20,1,130,0.77%
by,31,1,130,0.77%
by,45,1,130,0.77%
by,0,107,130,82.31%
bz,0,15,16,93.75%
bz,2,1,16,6.25%
ca,1,70,1134,6.17%
ca,2,40,1134,3.53%
ca,3,27,1134,2.38%
ca,4,18,1134,1.59%
ca,5,12,1134,1.06%
ca,6,9,1134,0.79%
ca,7,6,1134,0.53%
ca,8,7,1134,0.62%
ca,9,7,1134,0.62%
ca,10,15,1134,1.32%
ca,11,6,1134,0.53%
ca,12,7,1134,0.62%
ca,13,5,1134,0.44%
ca,14,4,1134,0.35%
ca,15,5,1134,0.44%
ca,16,8,1134,0.71%
ca,17,3,1134,0.26%
ca,18,8,1134,0.71%
ca,19,1,1134,0.09%
ca,20,3,1134,0.26%
ca,21,1,1134,0.09%
ca,22,1,1134,0.09%
ca,23,1,1134,0.09%
ca,25,4,1134,0.35%
ca,26,2,1134,0.18%
ca,28,1,1134,0.09%
ca,30,2,1134,0.18%
ca,32,1,1134,0.09%
ca,34,2,1134,0.18%
ca,36,1,1134,0.09%
ca,39,3,1134,0.26%
ca,40,1,1134,0.09%
ca,41,4,1134,0.35%
ca,44,1,1134,0.09%
ca,47,2,1134,0.18%
ca,0,839,1134,73.99%
cd,0,3,3,100.00%
cf,5,2,2,100.00%
cg,1,1,1,100.00%
ch,1,14,223,6.28%
ch,2,6,223,2.69%
ch,3,6,223,2.69%
ch,4,7,223,3.14%
ch,5,2,223,0.90%
ch,6,6,223,2.69%
ch,10,1,223,0.45%
ch,12,1,223,0.45%
ch,15,3,223,1.35%
ch,16,1,223,0.45%
ch,20,1,223,0.45%
ch,35,1,223,0.45%
ch,40,1,223,0.45%
ch,0,172,223,77.13%
ci,1,5,32,15.63%
ci,2,2,32,6.25%
ci,10,1,32,3.13%
ci,0,24,32,75.00%
ck,19,1,2,50.00%
ck,0,1,2,50.00%
cl,1,61,1220,5.00%
cl,2,19,1220,1.56%
cl,3,14,1220,1.15%
cl,4,14,1220,1.15%
cl,5,9,1220,0.74%
cl,6,3,1220,0.25%
cl,7,2,1220,0.16%
cl,8,7,1220,0.57%
cl,9,3,1220,0.25%
cl,10,1,1220,0.08%
cl,11,6,1220,0.49%
cl,12,1,1220,0.08%
cl,13,2,1220,0.16%
cl,14,5,1220,0.41%
cl,15,2,1220,0.16%
cl,16,2,1220,0.16%
cl,18,1,1220,0.08%
cl,19,2,1220,0.16%
cl,20,2,1220,0.16%
cl,21,2,1220,0.16%
cl,22,3,1220,0.25%
cl,24,2,1220,0.16%
cl,26,1,1220,0.08%
cl,29,4,1220,0.33%
cl,30,1,1220,0.08%
cl,32,4,1220,0.33%
cl,33,1,1220,0.08%
cl,38,2,1220,0.16%
cl,40,2,1220,0.16%
cl,44,1,1220,0.08%
